catchID,shop_ID,treat,training,clearing,farmer
50,AD_327,3,FALSE,FALSE,FALSE
50,AD_189,3,FALSE,FALSE,FALSE
50,AD_162,3,FALSE,FALSE,FALSE
51,AD_163,3,FALSE,FALSE,TRUE
51,AD_87,3,FALSE,FALSE,FALSE
51,AD_332,3,FALSE,FALSE,FALSE
52,AD_290,1,TRUE,FALSE,TRUE
52,AD_167,1,TRUE,FALSE,FALSE
53,AD_169,1,TRUE,FALSE,FALSE
54,AD_172,4,FALSE,TRUE,FALSE
54,AD_232,4,FALSE,TRUE,TRUE
55,AD_173,4,FALSE,TRUE,FALSE
55,AD_266,4,FALSE,TRUE,FALSE
56,AD_184,2,TRUE,TRUE,TRUE
56,AD_175,2,TRUE,TRUE,FALSE
57,AD_96,3,FALSE,FALSE,FALSE
57,AD_176,3,FALSE,FALSE,TRUE
57,AD_320,3,FALSE,FALSE,TRUE
58,AD_193,4,FALSE,TRUE,TRUE
58,AD_177,4,FALSE,TRUE,FALSE
58,AD_185,4,FALSE,TRUE,FALSE
59,AD_261,2,TRUE,TRUE,FALSE
59,AD_222,2,TRUE,TRUE,FALSE
59,AD_74,2,TRUE,TRUE,TRUE
59,AD_209,2,TRUE,TRUE,FALSE
59,AD_44,2,TRUE,TRUE,FALSE
59,AD_224,2,TRUE,TRUE,FALSE
59,AD_178,2,TRUE,TRUE,FALSE
59,AD_274,2,TRUE,TRUE,TRUE
59,AD_255,2,TRUE,TRUE,TRUE
59,AD_278,2,TRUE,TRUE,TRUE
59,AD_204,2,TRUE,TRUE,TRUE
59,AD_81,2,TRUE,TRUE,TRUE
59,AD_319,2,TRUE,TRUE,TRUE
59,AD_254,2,TRUE,TRUE,FALSE
60,AD_180,2,TRUE,TRUE,TRUE
60,AD_225,2,TRUE,TRUE,FALSE
61,AD_187,1,TRUE,FALSE,TRUE
61,AD_295,1,TRUE,FALSE,TRUE
61,AD_294,1,TRUE,FALSE,FALSE
61,AD_181,1,TRUE,FALSE,TRUE
61,AD_219,1,TRUE,FALSE,TRUE
61,AD_344,1,TRUE,FALSE,FALSE
62,AD_218,2,TRUE,TRUE,FALSE
62,AD_322,2,TRUE,TRUE,FALSE
62,AD_188,2,TRUE,TRUE,FALSE
63,AD_19,3,FALSE,FALSE,FALSE
64,AD_12,3,FALSE,FALSE,TRUE
64,AD_282,3,FALSE,FALSE,TRUE
64,AD_54,3,FALSE,FALSE,FALSE
64,AD_192,3,FALSE,FALSE,TRUE
64,AD_36,3,FALSE,FALSE,FALSE
64,AD_31,3,FALSE,FALSE,FALSE
64,AD_84,3,FALSE,FALSE,FALSE
64,AD_132,3,FALSE,FALSE,TRUE
64,AD_55,3,FALSE,FALSE,TRUE
64,AD_179,3,FALSE,FALSE,FALSE
65,AD_194,4,FALSE,TRUE,FALSE
66,AD_198,2,TRUE,TRUE,FALSE
67,AD_2,4,FALSE,TRUE,TRUE
68,AD_330,4,FALSE,TRUE,TRUE
68,AD_20,4,FALSE,TRUE,FALSE
69,AD_310,1,TRUE,FALSE,FALSE
69,AD_200,1,TRUE,FALSE,FALSE
70,AD_268,1,TRUE,FALSE,TRUE
70,AD_201,1,TRUE,FALSE,TRUE
71,AD_220,4,FALSE,TRUE,TRUE
71,AD_202,4,FALSE,TRUE,FALSE
72,AD_8,3,FALSE,FALSE,FALSE
72,AD_205,3,FALSE,FALSE,FALSE
73,AD_208,4,FALSE,TRUE,TRUE
74,AD_21,2,TRUE,TRUE,TRUE
74,AD_61,2,TRUE,TRUE,TRUE
74,AD_259,2,TRUE,TRUE,FALSE
75,AD_213,3,FALSE,FALSE,TRUE
75,AD_223,3,FALSE,FALSE,TRUE
76,AD_233,3,FALSE,FALSE,TRUE
76,AD_214,3,FALSE,FALSE,TRUE
76,AD_88,3,FALSE,FALSE,FALSE
77,AD_262,1,TRUE,FALSE,TRUE
77,AD_217,1,TRUE,FALSE,TRUE
77,AD_334,1,TRUE,FALSE,TRUE
78,AD_287,3,FALSE,FALSE,FALSE
78,AD_221,3,FALSE,FALSE,TRUE
79,AD_229,1,TRUE,FALSE,FALSE
80,AD_234,2,TRUE,TRUE,TRUE
81,AD_315,2,TRUE,TRUE,FALSE
81,AD_237,2,TRUE,TRUE,TRUE
82,AD_265,2,TRUE,TRUE,FALSE
82,AD_38,2,TRUE,TRUE,FALSE
82,AD_267,2,TRUE,TRUE,TRUE
82,AD_239,2,TRUE,TRUE,FALSE
83,AD_325,4,FALSE,TRUE,FALSE
83,AD_292,4,FALSE,TRUE,TRUE
83,AD_24,4,FALSE,TRUE,FALSE
83,AD_33,4,FALSE,TRUE,TRUE
84,AD_336,4,FALSE,TRUE,TRUE
84,AD_240,4,FALSE,TRUE,TRUE
84,AD_7,4,FALSE,TRUE,TRUE
85,AD_243,4,FALSE,TRUE,FALSE
85,AD_273,4,FALSE,TRUE,TRUE
86,AD_281,1,TRUE,FALSE,FALSE
86,AD_248,1,TRUE,FALSE,FALSE
87,AD_25,2,TRUE,TRUE,TRUE
88,AD_39,1,TRUE,FALSE,FALSE
88,AD_251,1,TRUE,FALSE,TRUE
89,AD_253,3,FALSE,FALSE,FALSE
90,AD_256,1,TRUE,FALSE,TRUE
91,AD_257,1,TRUE,FALSE,TRUE
92,AD_258,2,TRUE,TRUE,FALSE
93,AD_260,2,TRUE,TRUE,TRUE
94,AD_9,4,FALSE,TRUE,FALSE
94,AD_269,4,FALSE,TRUE,TRUE
95,AD_270,3,FALSE,FALSE,FALSE
96,AD_271,4,FALSE,TRUE,FALSE
96,AD_288,4,FALSE,TRUE,FALSE
96,AD_314,4,FALSE,TRUE,TRUE
97,AD_6,1,TRUE,FALSE,TRUE
97,AD_3,1,TRUE,FALSE,FALSE
97,AD_272,1,TRUE,FALSE,TRUE
98,AD_275,1,TRUE,FALSE,FALSE
99,AD_337,1,TRUE,FALSE,FALSE
99,AD_276,1,TRUE,FALSE,FALSE
100,AD_65,4,FALSE,TRUE,TRUE
100,AD_277,4,FALSE,TRUE,FALSE
101,AD_283,3,FALSE,FALSE,FALSE
102,AD_95,3,FALSE,FALSE,FALSE
102,AD_76,3,FALSE,FALSE,TRUE
102,AD_89,3,FALSE,FALSE,TRUE
102,AD_284,3,FALSE,FALSE,TRUE
103,AD_289,3,FALSE,FALSE,TRUE
104,AD_302,2,TRUE,TRUE,FALSE
104,AD_29,2,TRUE,TRUE,TRUE
104,AD_79,2,TRUE,TRUE,TRUE
105,AD_297,2,TRUE,TRUE,TRUE
105,AD_35,2,TRUE,TRUE,TRUE
106,AD_298,1,TRUE,FALSE,FALSE
107,AD_30,4,FALSE,TRUE,FALSE
108,AD_300,3,FALSE,FALSE,FALSE
109,AD_301,1,TRUE,FALSE,TRUE
110,AD_303,2,TRUE,TRUE,FALSE
111,AD_304,4,FALSE,TRUE,FALSE
111,AD_77,4,FALSE,TRUE,FALSE
112,AD_305,1,TRUE,FALSE,TRUE
113,AD_318,1,TRUE,FALSE,TRUE
113,AD_48,1,TRUE,FALSE,FALSE
114,AD_32,1,TRUE,FALSE,TRUE
114,AD_92,1,TRUE,FALSE,TRUE
115,AD_323,2,TRUE,TRUE,TRUE
115,AD_46,2,TRUE,TRUE,FALSE
116,AD_326,2,TRUE,TRUE,TRUE
117,AD_328,1,TRUE,FALSE,FALSE
117,AD_53,1,TRUE,FALSE,TRUE
118,AD_333,4,FALSE,TRUE,FALSE
119,AD_50,2,TRUE,TRUE,TRUE
119,AD_34,2,TRUE,TRUE,FALSE
120,AD_340,3,FALSE,FALSE,TRUE
121,AD_343,3,FALSE,FALSE,FALSE
122,AD_345,3,FALSE,FALSE,TRUE
123,AD_347,2,TRUE,TRUE,TRUE
123,AD_51,2,TRUE,TRUE,TRUE
124,AD_40,4,FALSE,TRUE,TRUE
125,AD_42,2,TRUE,TRUE,TRUE
126,AD_43,1,TRUE,FALSE,FALSE
127,AD_62,2,TRUE,TRUE,TRUE
128,AD_69,2,TRUE,TRUE,FALSE
129,AD_85,1,TRUE,FALSE,FALSE
130,AD_97,1,TRUE,FALSE,FALSE
