"catchID","date","q0","maize.q1","maize.q2","maize.owner.consent","maize.owner.agree.age","maize.owner.agree.gender","maize.owner.agree.educ","maize.owner.agree.ownership","maize.owner.agree.knw","maize.owner.agree.q3","maize.owner.agree.q4","maize.owner.agree.q5","maize.owner.agree.q6","maize.owner.agree.q7","maize.owner.agree.q8","maize.owner.agree.q9.a","maize.owner.agree.q9.b","maize.owner.agree.q9.d","maize.owner.agree.q9.e","maize.owner.agree.q9.96","maize.owner.agree.q10","maize.owner.agree.q11","maize.owner.agree.train_ISSD","maize.owner.agree.q12","maize.owner.agree.nr_var","maize.owner.agree.q19","maize.owner.agree.q20","maize.owner.agree.long10h.q21","maize.owner.agree.long10h.q22","maize.owner.agree.long10h.q23","maize.owner.agree.long10h.q24","maize.owner.agree.long10h.carry","maize.owner.agree.long10h.q25","maize.owner.agree.long10h.q26","maize.owner.agree.long10h.sold","maize.owner.agree.long10h.q27","maize.owner.agree.long10h.q29","maize.owner.agree.long10h.q30","maize.owner.agree.long10h.q31","maize.owner.agree.q32","maize.owner.agree.longe7h.q33","maize.owner.agree.longe7h.q34","maize.owner.agree.longe7h.q35","maize.owner.agree.longe7h.q36","maize.owner.agree.longe7h.carry2","maize.owner.agree.longe7h.q37","maize.owner.agree.longe7h.q38","maize.owner.agree.longe7h.sold2","maize.owner.agree.longe7h.q39","maize.owner.agree.longe7h.q41","maize.owner.agree.longe7h.q42","maize.owner.agree.longe7h.q43","maize.owner.agree.q44","maize.owner.agree.q45","maize.owner.agree.longe5.q46","maize.owner.agree.longe5.q47","maize.owner.agree.longe5.q48","maize.owner.agree.longe5.q49","maize.owner.agree.longe5.carry3","maize.owner.agree.longe5.q50","maize.owner.agree.longe5.q51","maize.owner.agree.longe5.sold3","maize.owner.agree.longe5.q52","maize.owner.agree.longe5.q54","maize.owner.agree.longe5.q55","maize.owner.agree.longe5.q56","maize.owner.agree.q57","maize.owner.agree.longe4.q58","maize.owner.agree.longe4.q59","maize.owner.agree.longe4.q60","maize.owner.agree.longe4.q61","maize.owner.agree.longe4.carry4","maize.owner.agree.longe4.q62","maize.owner.agree.longe4.q63","maize.owner.agree.longe4.sold4","maize.owner.agree.longe4.q64","maize.owner.agree.longe4.q66","maize.owner.agree.longe4.q67","maize.owner.agree.longe4.q68","maize.owner.agree.temp.q69","maize.owner.agree.temp.q71","maize.owner.agree.temp.q72","maize.owner.agree.temp.q73","maize.owner.agree.temp.q74","maize.owner.agree.temp.q75","maize.owner.agree.temp.q76","maize.owner.agree.temp.q77","maize.owner.agree.temp.q78","maize.owner.agree.temp.q79","maize.owner.agree.temp.q80","maize.owner.agree.temp.q81","maize.owner.agree.temp.q82","maize.owner.agree.q83.a","maize.owner.agree.q83.b","maize.owner.agree.q83.c","maize.owner.agree.q83.d","maize.owner.agree.q83.e","maize.owner.agree.q83.f","maize.owner.agree.q83.g","maize.owner.agree.q83.96","maize.owner.agree.q84","maize.owner.agree.other_q84","maize.owner.agree.q85","maize.owner.agree.q86","maize.owner.agree.q87","maize.owner.agree.q88","maize.owner.agree.q89","maize.owner.agree.q90","maize.owner.agree.q91","maize.owner.agree.q92","maize.owner.agree.q93","maize.owner.agree.q94","maize.owner.agree.q95","maize.owner.agree.q96","maize.owner.agree.q96b","maize.owner.agree.q97.a","maize.owner.agree.q97.b","maize.owner.agree.q97.c","maize.owner.agree.q97.d","maize.owner.agree.q97.96","maize.owner.agree.q98","maize.owner.agree.q99","maize.owner.agree.q100","maize.owner.agree.q101","maize.owner.agree.q102","maize.owner.agree.q103","maize.owner.agree.skill.q104","maize.owner.agree.skill.q105","maize.owner.agree.skill.q106","maize.owner.agree.skill.q107","maize.owner.agree.skill.q108","maize.owner.agree.skill.q109","maize.owner.agree.skill.q110","maize.owner.agree.skill.q111","maize.owner.agree.skill.q112","maize.owner.agree.skill.q113","maize.owner.agree.inspection.q114","maize.owner.agree.inspection.q115","maize.owner.agree.inspection.q116","maize.owner.agree.inspection.q117","maize.owner.agree.inspection.q118","maize.owner.agree.inspection.q119","maize.owner.agree.inspection.q120","maize.owner.agree.inspection.q121","maize.owner.agree.inspection.q122","maize.owner.agree.q70","maize.owner.agree._gps_altitude","maize.owner.agree._gps_precision","reading","exp","date_pack","origin","cert","lot","verif","variety","other_var","company","age","shop_ID","treat","training","clearing","farmer","distID"
14,"2020-09-26","Yes","Yes","n/a","Yes",46,"Female","d","No","Yes",0,0.25,"No",50,20,"2018-01-01","False","True","True","True","True","No","n/a","n/a","Yes",2,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","0.0","100","a","2500","100","80","3000","20","2.0","No","n/a","n/a","No","Yes","No","No","Yes","Yes","Yes","Cement",2,2,"Yes","Yes",2,"True","True","False","False","False","False","False","False","c","n/a","b","b",1,"Yes","2","c","n/a","n/a",1,"n/a","n/a","No","n/a","True","True","False","False","False","a",4,4,4,2,3,"c","b","c","b","c","b","b","a","a","a","No","No","No",0,"No","No","No","No","No",26,1224.44544430617,10,15.3,"n/a","n/a","Yes","No","No","No","long4","n/a",13,NA,"AD_293",1,TRUE,FALSE,"TRUE",2
15,"2020-09-26","Yes","Yes","n/a","Yes",25,"Female","d","No","Yes",6,0.1,"Yes",35,15,"2011-01-01","False","True","True","True","False","Yes","Yes","No","Yes",4,2,"Yes","0.0","450","a","5500","450","420","6000","30","0.0","Yes","3","2","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","18.0","150","a","2300","168","168","3000","0","n/a","Yes","3","2","Yes","0.0","50","a","2300","50","50","4000","0","n/a","Yes","3","5","No","Yes","Yes","Yes","Yes","Yes","Yes","Cement",1,4,"No","Yes",4,"False","True","False","False","False","False","False","False","c","n/a","b","c",2,"Yes","2","c","n/a","n/a",2,"20","12","No","n/a","True","False","False","False","False","a",4,4,5,4,5,"a","a","c","c","c","c","a","b","a","c","Yes","Yes","No",2,"Yes","No","No","Yes","No",25,1075.10623627482,10,13.2,"n/a","2020-09-06","Yes","No","No","No","10H","n/a",1,25,"AD_113",4,FALSE,TRUE,"TRUE",1
15,"2020-09-26","Yes","Yes","n/a","Yes",26,"Male","b","Yes","Yes",5,0.2,"Yes",5,2,"2020-01-01","False","False","True","True","False","Yes","Yes","No","Yes",4,3,"Yes","0.0","30","a","5000","30","24","6000","6","0.0","No","n/a","n/a","Yes","0.0","7","a","2500","7","7","3000","0","n/a","Yes","4","15",1,"Yes","0.0","30","a","2500","30","25","3000","5","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","No","Yes","Yes","Yes","Cement",2,4,"Yes","No",3,"True","False","False","False","False","False","False","False","c","n/a","b","c",1,"Yes","1","a","No","Yes",3,"3","1","Yes","d","True","False","False","False","False","a",2,5,5,4,5,"c","a","b","c","c","a","b","c","a","b","No","No","No",13,"No","No","No","No","No",26,1060.9269666465,10,12.5,"n/a","2020-09-12","Yes","No","No","No","10H","n/a",1,19,"AD_124",4,FALSE,TRUE,"TRUE",1
16,"2020-10-02","Yes","Yes","n/a","Yes",25,"Female","f","No","No",2,0.01,"Yes",8,5,"2020-01-01","False","False","True","True","False","No","n/a","n/a","Yes",2,1,"Yes","0.0","20","a","5500","20","14","6000","6","0.0","Yes","3","7","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","70","a","2700","70","64","3000","6","0.0","Yes","3","7","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","No","No","Yes","Yes","Yes","Cement",2,5,"No","No",4,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","1","c","n/a","n/a",2,"7","4","Yes","e","True","False","False","False","False","a",4,5,4,3,5,"b","a","c","c","b","b","b","b","b","c","No","No","No",0,"No","No","No","No","No",22,1063.30124781206,10,12.8,"n/a","2020-01-15","Yes","No","Yes","No","96","MM3",13,259.958333333333,"AD_114",3,FALSE,FALSE,"FALSE",8
17,"2020-10-02","Yes","Yes","n/a","Yes",25,"Female","d","No","Yes",20,0.01,"Yes",10,3,"2020-01-01","False","False","True","True","False","No","n/a","n/a","Yes",0,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","No","No","Yes","Yes","Yes","Cement",2,5,"No","No",3,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","other","c","n/a","n/a",1,"n/a","n/a","No","n/a","True","False","False","False","False","a",4,4,5,3,4,"b","a","b","c","c","c","b","b","a","88","No","Yes","No",2,"Yes","No","No","No","No",26,1073.00447009215,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_115",3,FALSE,FALSE,"TRUE",8
17,"2020-10-02","Yes","Yes","n/a","Yes",43,"Male","e","Yes","No",25,0,"Yes",30,20,"2016-01-01","False","True","True","True","False","No","n/a","n/a","Yes",2,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","300","a","2500","300","290","3000","10","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,3,"No","Yes",3,"False","True","False","False","False","False","False","False","a","n/a","b","b",3,"Yes","1","c","n/a","n/a",1,"n/a","n/a","Yes","e","True","False","False","False","False","a",3,3,5,3,5,"a","b","b","b","b","b","b","a","a","b","No","No","No",1,"No","No","No","No","No",27.3,1048.10158330854,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_280",3,FALSE,FALSE,"FALSE",8
18,"2020-10-01","Yes","Yes","n/a","Yes",25,"Female","g","No","No",0,0.2,"Yes",20,10,"2019-01-01","False","True","True","True","False","Yes","No","n/a","No",5,4,"Yes","0.0","100","b","999","100","50","6500","50","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","100","b","999","100","50","3500","50","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,4,"No","No",4,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","1","c","n/a","n/a",1,"n/a","n/a","Yes","e","True","False","False","False","False","a",4,5,5,3,3,"b","a","c","b","c","b","b","a","88","b","98","Yes","No",2,"Yes","No","No","No","No",25,1685.98753486544,10,12.6,"n/a","2020-08-24","Yes","No","No","No","10H","n/a",1,38,"AD_117",3,FALSE,FALSE,"TRUE",6
19,"2020-09-30","Yes","Yes","n/a","Yes",25,"Male","d","Yes","No",0.01,0.1,"Yes",15,8,"2018-01-01","False","True","True","True","False","Yes","Yes","No","Yes",2,2,"Yes","10.0","50","b","4500","60","60","6000","0","n/a","Yes","4","20","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","200","b","2300","200","195","3000","5","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","Yes","Yes","Yes","Yes","Yes","Cement",2,4,"No","No",4,"True","False","False","False","False","False","False","False","d","n/a","c","c",2,"Yes","1","c","n/a","n/a",2,"20","3","No","n/a","True","True","False","False","False","a",5,5,5,4,5,"b","a","c","b","c","c","b","c","a","b","Yes","Yes","No",4,"No","No","No","No","No",24,2731.90456953458,10,16.8,"n/a","2020-07-14","Yes","No","Yes","No","long5","n/a",12,79,"AD_118",3,FALSE,FALSE,"TRUE",8
20,"2020-09-27","Yes","Yes","n/a","Yes",22,"Female","d","No","Yes",0.2,0,"Yes",20,15,"2018-01-01","False","False","True","True","False","No","n/a","n/a","Yes",0,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","Yes","Yes","Yes","No","Yes","Cement",2,4,"No","No",3,"False","False","False","False","True","False","False","False","c","n/a","a","b",1,"No","other","b","No","Yes",1,"n/a","n/a","No","n/a","True","False","False","False","False","a",3,3,5,4,5,"88","a","b","b","b","88","88","88","88","88","98","Yes","98",999,"98","98","98","No","No",23,1115.2722934912,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_37",2,TRUE,TRUE,"FALSE",1
20,"2020-09-27","Yes","Yes","n/a","Yes",23,"Male","d","No","Yes",0,0,"Yes",100,30,"2012-01-01","False","False","True","True","False","No","n/a","n/a","Yes",8,1,"Yes","0.0","500","b","4500","500","500","6000","0","n/a","Yes","5","999","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","800","b","2500","800","760","3000","40","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","Yes","Yes","Yes","Yes","Yes","Cement",2,4,"No","No",4,"False","True","False","False","False","False","False","False","c","n/a","c","c",3,"Yes","1","c","n/a","n/a",2,"20","10","Yes","d","True","True","False","False","False","c",4,4,4,3,4,"a","88","b","b","c","b","b","c","a","a","Yes","Yes","No",2,"Yes","No","No","No","No",24.5,1119.38397001866,25,12,"n/a","2020-08-20","Yes","No","No","No","long5","n/a",4,42,"AD_82",2,TRUE,TRUE,"FALSE",1
20,"2020-09-27","Yes","Yes","n/a","Yes",25,"Male","d","Yes","No",0,0,"Yes",15,15,"2015-01-01","False","True","True","True","False","No","n/a","n/a","Yes",6,4,"Yes","0.0","50","b","3000","50","50","6000","0","n/a","Yes","5","999","Yes","0.0","400","b","5400","400","392","6000","8","0.0","No","n/a","n/a",2,"Yes","0.0","800","b","2300","800","750","3000","50","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,5,"No","Yes",4,"False","False","False","False","True","False","False","False","c","n/a","b","c",2,"Yes","1","c","n/a","n/a",1,"n/a","n/a","Yes","e","True","True","False","False","False","a",4,4,4,4,4,"b","88","b","c","c","c","b","a","a","b","No","Yes","Yes",1,"Yes","Yes","No","No","No",25,1150.77892039593,10,12.9,"n/a","2020-08-18","Yes","No","No","No","7H","n/a",4,44,"AD_119",2,TRUE,TRUE,"TRUE",1
21,"2020-09-28","Yes","Yes","n/a","Yes",25,"Male","d","No","No",0.4,0.1,"No",100,50,"2010-01-01","True","True","True","True","False","Yes","No","n/a","Yes",1,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","50","a","2500","50","50","3000","0","n/a","Yes","2","7","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","Yes","No","Yes","Yes","Yes","Cement",2,5,"No","No",3,"True","False","False","False","False","False","False","False","c","n/a","c","c",1,"Yes","other","c","n/a","n/a",2,"3","0","Yes","d","True","False","False","False","False","a",3,3,3,4,4,"a","a","b","c","c","c","b","b","a","b","98","Yes","No",0,"98","No","No","No","No",24,1124.75849123499,10,14.2,"n/a","n/a","No","Yes","No","No","96","Repackaged seed with some details missing",8,NA,"AD_120",2,TRUE,TRUE,"FALSE",10
21,"2020-09-28","Yes","Yes","n/a","Yes",48,"Male","d","Yes","Yes",0,0.25,"No",20,10,"2000-01-01","False","True","True","True","True","Yes","Yes","Yes","Yes",1,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","1000","a","2500","1000","990","3000","10","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","No","No","Yes","Yes","Cement",2,2,"No","No",2,"False","True","True","False","False","True","False","False","a","n/a","b","b",1,"No","2","a","No","No",2,"10","5","Yes","d","True","True","False","False","False","b",4,4,4,3,5,"a","a","b","c","c","a","b","a","a","a","No","No","No",2,"No","No","No","No","No",25,1155.29355014152,10,15.6,"n/a","2020-08-13","Yes","No","Yes","No","long5","n/a",15,49,"AD_299",2,TRUE,TRUE,"FALSE",10
21,"2020-09-28","Yes","Yes","n/a","Yes",20,"Male","e","No","Yes",0.25,0,"Yes",100,20,"2018-01-01","False","True","True","True","False","Yes","Yes","Yes","Yes",2,1,"Yes","8.0","48","a","4500","56","38","5000","18","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","20","a","2500","20","17","3000","3","0.0","Yes","3","2","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","Yes","Yes","Yes","Yes","Cement",2,4,"Yes","Yes",2,"False","True","False","False","False","False","False","False","c","n/a","b","b",2,"Yes","2","b","No","No",2,"5","2","Yes","d","True","True","False","False","False","a",3,4,4,3,4,"a","a","b","b","c","c","a","b","a","b","Yes","Yes","No",2,"No","No","No","No","No",27,1152.91069900484,10,12.7,"2021-02-28","2020-04-18","Yes","No","Yes","No","10H","n/a",1,166,"AD_26",2,TRUE,TRUE,"TRUE",10
21,"2020-09-28","Yes","Yes","n/a","Yes",19,"Male","d","No","No",0.4,0,"Yes",15,7,"2020-01-01","False","True","True","True","False","Yes","No","n/a","Yes",2,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","0.0","20","a","3000","20","20","3500","0","n/a","Yes","2","30",1,"Yes","0.0","10","a","3000","10","10","3500","0","n/a","Yes","2","21","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","Yes","Yes","Yes","Yes","Yes","Cement",2,2,"No","No",4,"True","False","False","False","False","False","False","False","c","n/a","c","c",1,"Yes","2","c","n/a","n/a",1,"n/a","n/a","No","n/a","True","False","False","False","False","a",3,3,4,3,2,"a","a","c","c","c","c","b","b","b","b","No","No","No",0,"No","No","No","No","No",24,1132.43367303473,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_346",2,TRUE,TRUE,"FALSE",10
21,"2020-09-28","Yes","Yes","n/a","Yes",36,"Female","d","Yes","No",0,0,"Yes",10,10,"2014-01-01","False","False","True","True","False","No","n/a","n/a","Yes",2,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","100","a","2500","100","80","3000","20","0.0","No","n/a","n/a","Yes","0.0","20","a","2500","20","0","3000","20","0.0","Yes","5","999","Yes","Yes","Yes","No","Yes","Yes","Yes","Cement",2,3,"No","No",4,"False","True","False","False","False","False","False","False","c","n/a","b","c",1,"Yes","1","b","No","No",2,"4","0","Yes","e","True","True","False","False","False","a",3,3,4,4,4,"a","b","c","c","c","b","a","a","a","a","Yes","Yes","No",3,"No","No","No","No","No",24.5,-26.9658120186068,15,16.9,"n/a","2020-07-14","Yes","No","Yes","No","long5","n/a",12,79,"AD_241",2,TRUE,TRUE,"FALSE",10
22,"2020-09-25","Yes","Yes","n/a","Yes",32,"Female","d","Yes","No",0,0,"Yes",5,5,"2018-01-01","False","False","True","True","False","Yes","No","n/a","Yes",2,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","18","a","2500","18","12","3000","6","0.0","No","n/a","n/a","Yes","0.0","4","a","2500","4","4","3000","0","n/a","Yes","4","2","No","Yes","Yes","No","Yes","Yes","Yes","Cement",2,5,"No","No",4,"False","False","False","False","True","False","False","False","a","n/a","b","c",2,"Yes","1","a","No","Yes",2,"5","0","No","n/a","True","False","False","False","False","c",3,3,3,3,4,"a","c","88","c","c","c","a","a","a","b","No","Yes","No",2,"No","No","No","No","No",24,1090.53094503442,10,14.4,"2021-01-14","n/a","Yes","No","Yes","No","long5","Processed and packaged by Rhino Seeds Africa Limited",8,74.9583333333333,"AD_207",3,FALSE,FALSE,"FALSE",3
22,"2020-09-25","Yes","Yes","n/a","Yes",26,"Female","f","Yes","No",0.1,0.1,"Yes",10,8,"2020-01-01","False","True","True","True","False","No","n/a","n/a","Yes",3,1,"Yes","0.0","4","a","5500","4","4","6500","0","n/a","Yes","3","5","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","30","a","2500","30","24","3500","6","0.0","Yes","2","5","Yes","0.0","25","a","2500","25","19","3500","6","0.0","Yes","3","7","No","Yes","No","No","Yes","Yes","Yes","Cement",2,3,"No","No",5,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","1","a","No","Yes",2,"3","1","No","n/a","True","False","False","False","False","a",4,5,5,3,5,"b","a","c","c","c","c","b","a","a","88","No","Yes","No",0,"No","No","No","No","No",22,1122.09879399299,10,13.1,"2021-02-10","n/a","Yes","No","No","No","long4","Did not have lot number",4,47.9583333333333,"AD_134",3,FALSE,FALSE,"TRUE",3
22,"2020-09-25","Yes","Yes","n/a","Yes",25,"Male","f","Yes","Yes",0.4,0.4,"Yes",15,10,"2013-01-01","True","True","True","True","False","Yes","Yes","Yes","Yes",4,2,"Yes","0.0","150","a","5000","150","146","6000","4","0.0","No","n/a","n/a","Yes","0.0","100","a","4500","100","96","5000","4","0.0","No","n/a","n/a",2,"Yes","0.0","500","a","2500","500","450","3000","50","0.0","No","n/a","n/a","Yes","0.0","500","a","2500","500","480","3000","20","0.0","No","n/a","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,4,"No","Yes",5,"True","False","False","False","False","False","False","False","c","n/a","c","c",1,"Yes","1","a","Yes","No",3,"50","35","Yes","d","True","False","False","False","False","c",3,4,4,4,4,"b","a","b","b","b","c","b","a","88","c","No","Yes","Yes",3,"No","No","No","No","No",22,1085.61623596113,20,12.6,"2021-02-10","n/a","Yes","No","Yes","No","10H","Dry sample",1,47.9583333333333,"AD_121",3,FALSE,FALSE,"FALSE",3
23,"2020-10-01","Yes","Yes","n/a","Yes",23,"Male","f","No","Yes",10,0.01,"Yes",30,15,"2010-01-01","False","True","True","True","False","Yes","No","n/a","Yes",2,2,"Yes","0.0","20","a","6000","20","20","7500","0","n/a","Yes","4","21","Yes","0.0","35","a","7500","35","35","9000","0","n/a","Yes","4","21",1,"Yes","0.0","500","b","2200","500","300","3000","200","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","Yes","Yes","Yes","Yes","Yes","Cement",2,3,"No","Yes",5,"False","True","False","False","False","False","False","False","d","n/a","c","c",3,"Yes","1","c","n/a","n/a",2,"3","0","Yes","e","True","True","False","False","False","c",3,5,4,4,5,"b","a","c","b","c","b","b","c","b","a","Yes","Yes","No",10,"Yes","No","No","No","No",22,1112.10905416684,10,15.4,"n/a","2020-07-15","Yes","No","Yes","No","long5","n/a",2,78,"AD_63",4,FALSE,TRUE,"TRUE",8
23,"2020-10-01","Yes","Yes","n/a","Yes",27,"Female","d","No","No",10,0,"Yes",60,10,"2019-01-01","False","True","True","True","False","No","n/a","n/a","Yes",2,2,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","0.0","300","a","3500","300","300","6000","0","n/a","No","n/a","n/a",1,"Yes","0.0","300","a","2200","300","300","3500","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","Yes","No","Yes","Yes","Cement",2,2,"No","Yes",5,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","1","a","No","Yes",1,"n/a","n/a","Yes","e","True","False","False","False","False","a",3,3,4,3,4,"88","a","88","c","b","88","b","a","a","c","No","Yes","Yes",1,"Yes","No","No","No","No",21,1109.17700037435,10,14.1,"n/a","2020-07-20","Yes","No","Yes","No","long5","n/a",14,73,"AD_141",4,FALSE,TRUE,"FALSE",8
23,"2020-10-01","Yes","Yes","n/a","Yes",53,"Male","b","Yes","No",15,0.1,"Yes",10,5,"2010-01-01","True","True","True","True","False","Yes","Yes","No","Yes",3,1,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","300","b","2300","300","250","3000","50","0.0","No","n/a","n/a","Yes","0.0","200","b","2200","200","175","3000","25","0.0","No","n/a","n/a","No","No","Yes","No","Yes","Yes","Yes","Cement",2,3,"No","Yes",2,"False","True","False","False","False","False","False","False","c","n/a","c","c",1,"Yes","1","a","No","Yes",2,"5","2","Yes","e","True","False","False","False","False","a",5,3,4,5,5,"a","b","c","b","c","a","b","a","a","b","Yes","Yes","No",2,"Yes","No","No","No","No",22,1090.12090717331,10,12.7,"n/a","n/a","Yes","No","No","No","long4","n/a",16,NA,"AD_324",4,FALSE,TRUE,"FALSE",8
23,"2020-10-01","Yes","Yes","n/a","Yes",26,"Female","f","Yes","No",10,0.02,"Yes",20,15,"2015-01-01","False","True","True","True","False","Yes","No","n/a","Yes",2,2,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","30.0","300","b","2500","330","310","3500","20","0.0","Yes","3","30","Yes","0.0","100","b","2500","100","100","3000","0","n/a","Yes","3","21","No","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,4,"No","Yes",4,"True","False","False","False","False","False","False","False","c","n/a","c","c",3,"Yes","1","b","Yes","No",2,"10","1","Yes","e","True","True","False","False","False","c",3,5,5,4,5,"c","a","c","b","b","a","b","c","a","a","Yes","Yes","No",2,"Yes","Yes","No","No","No",20,3550.88528375917,10,12.4,"n/a","2020-07-15","Yes","No","Yes","No","long5","n/a",13,78,"AD_122",4,FALSE,TRUE,"FALSE",8
